frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.076016831","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","142.250.75.196",,,"17","Initial, DCID=e2dddb04d13475ab, PKN: 1, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, PING, PADDING"
"2","0.076041760","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","142.250.75.196",,,"17","Initial, DCID=e2dddb04d13475ab, PKN: 2, PING, PADDING, CRYPTO, PING, PING, PING, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO"
"3","0.091293884","82","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","142.250.75.196","172.18.253.191",,,"17","Initial, SCID=e2dddb04d13475ab, PKN: 1, ACK"
"4","0.091293981","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","142.250.75.196","172.18.253.191",,,"17","Initial, SCID=e2dddb04d13475ab, PKN: 2, ACK, PADDING"
"5","0.091294036","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","142.250.75.196","172.18.253.191",,,"17","Initial, SCID=e2dddb04d13475ab, PKN: 3, CRYPTO, PADDING"
"6","0.091294079","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","142.250.75.196","172.18.253.191",,,"17","Initial, SCID=e2dddb04d13475ab, PKN: 4, CRYPTO, PADDING"
"7","0.091927349","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","142.250.75.196",,,"17","Initial, DCID=e2dddb04d13475ab, PKN: 3, ACK, PADDING"
"8","0.107820911","79","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","142.250.75.196",,,"17","Handshake, DCID=e2dddb04d13475ab, PKN: 5, PADDING, PING"
"9","0.136005354","79","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","142.250.75.196",,,"17","Handshake, DCID=e2dddb04d13475ab, PKN: 7, PADDING, PING"
"10","0.143082803","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","142.250.75.196","172.18.253.191",,,"17","Handshake, SCID=e2dddb04d13475ab, PKN: 5, CRYPTO"
"11","0.143083193","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","142.250.75.196","172.18.253.191",,,"17","Handshake, SCID=e2dddb04d13475ab, PKN: 6, CRYPTO"
"12","0.143393073","81","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","142.250.75.196",,,"17","Handshake, DCID=e2dddb04d13475ab, PKN: 8, ACK"
"13","0.144382613","839","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","142.250.75.196","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
