frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.251520455","1292","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Initial, DCID=5f1cb4a55cef997f, PKN: 1, PING, PING, PING, PING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PING"
"2","0.251548150","1292","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Initial, DCID=5f1cb4a55cef997f, PKN: 2, PING, CRYPTO, PADDING, PING, PING, PING, CRYPTO, PING, CRYPTO, CRYPTO, PING, PING, PING, PADDING"
"3","0.258103932","82","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Initial, SCID=ff1cb4a55cef997f, PKN: 1, ACK"
"4","0.259038450","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Initial, SCID=ff1cb4a55cef997f, PKN: 2, ACK, PADDING"
"5","0.259314313","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=ff1cb4a55cef997f"
"6","0.259314428","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=ff1cb4a55cef997f, PKN: 4, CRYPTO"
"7","0.259524908","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=ff1cb4a55cef997f, PKN: 5, CRYPTO"
"8","0.259631517","83","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=ff1cb4a55cef997f, PKN: 3, ACK"
"9","0.259715739","81","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=ff1cb4a55cef997f, PKN: 4, ACK"
"10","0.260609084","1178","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
"11","0.260872716","82","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=ff1cb4a55cef997f, PKN: 6, ACK, PING"
"12","0.262779714","125","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=ff1cb4a55cef997f, PKN: 7, CRYPTO"
"13","0.262882774","114","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=ff1cb4a55cef997f, PKN: 8, STREAM(2), SETTINGS"
"14","0.263202580","507","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=ff1cb4a55cef997f, PKN: 9, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: GET /edgedl/chrome/dict/en-us-10-1.bdic?cms_redirect=yes&met=1745059401,&mh=7g&mip=46.121.189.58&mm=28&mn=sn-nhpax-ua8k&ms=nvh&mt=1745058968&mv=m&mvi=2&pl=19&rmhost=r4---sn-nhpax-ua8k.gvt1.com&rms=nvh,nvh&shardbypass=sd&smhost=r2---sn-nhpax-ua8y.gvt1.com"
"15","0.266654408","83","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=ff1cb4a55cef997f, PKN: 9, ACK"
