frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.228805258","1292","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Initial, DCID=8bea66a9381257ad, PKN: 1, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO, PING, PING, PING, CRYPTO, PING, PING, CRYPTO, PING, PADDING, CRYPTO, PING"
"2","0.228824629","1292","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Initial, DCID=8bea66a9381257ad, PKN: 2, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING"
"3","0.234757506","82","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Initial, SCID=ebea66a9381257ad, PKN: 1, ACK"
"4","0.235976991","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Initial, SCID=ebea66a9381257ad, PKN: 2, ACK, PADDING"
"5","0.236397793","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=ebea66a9381257ad, PKN: 4, CRYPTO"
"6","0.236397909","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=ebea66a9381257ad, PKN: 5, CRYPTO"
"7","0.236654058","81","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=ebea66a9381257ad, PKN: 3, ACK"
"8","0.236730721","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=ebea66a9381257ad, PKN: 6, CRYPTO"
"9","0.236730910","1174","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
"10","0.237019611","81","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=ebea66a9381257ad, PKN: 4, ACK"
"11","0.239182935","125","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=ebea66a9381257ad, PKN: 5, CRYPTO"
"12","0.239280042","114","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=ebea66a9381257ad, PKN: 6, STREAM(2), SETTINGS"
