frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"14039","22.011910870","76","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.170",,,"17","Protected Payload (KP0), DCID=e195b59db5778552, PKN: 984, ACK"
"14040","22.015120732","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","82.102.159.15","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 6563, STREAM(4)"
"14041","22.015121155","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3420, STREAM(8)"
"14042","22.015121198","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3421, STREAM(8)"
"14043","22.015121242","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3422, STREAM(8)"
"14044","22.015121274","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3423, STREAM(8)"
"14045","22.015121318","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3424, STREAM(8)"
"14046","22.017949661","76","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","82.102.159.15",,,"17","Protected Payload (KP0), DCID=f67352a4771bd63c, PKN: 1665, ACK"
"14047","22.020304222","76","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.170",,,"17","Protected Payload (KP0), DCID=e195b59db5778552, PKN: 985, ACK"
"14048","22.021001021","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3425, STREAM(8)"
"14049","22.021001140","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","82.102.159.15","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 6564, STREAM(4)"
"14050","22.023746516","76","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","82.102.159.15",,,"17","Protected Payload (KP0), DCID=f67352a4771bd63c, PKN: 1666, ACK"
"14051","22.026059009","76","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.170",,,"17","Protected Payload (KP0), DCID=e195b59db5778552, PKN: 986, ACK"
"14052","22.028216099","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","82.102.159.15","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 6565, STREAM(4)"
"14053","22.028216219","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","82.102.159.15","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 6566, STREAM(4)"
"14054","22.028216273","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","82.102.159.15","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 6567, STREAM(4)"
"14055","22.028216316","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3426, STREAM(8)"
"14056","22.030985676","76","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","82.102.159.15",,,"17","Protected Payload (KP0), DCID=f67352a4771bd63c, PKN: 1667, ACK"
"14057","22.033371279","76","00:15:5d:ea:3d:73","00:15:5d:80:e9:93","172.18.253.191","142.250.75.170",,,"17","Protected Payload (KP0), DCID=e195b59db5778552, PKN: 987, ACK"
"14058","22.033749905","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3427, STREAM(8)"
"14059","22.033750111","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3428, STREAM(8)"
"14060","22.033750155","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3429, STREAM(8)"
"14061","22.033750198","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3430, STREAM(16)"
"14062","22.033750230","1292","00:15:5d:80:e9:93","00:15:5d:ea:3d:73","142.250.75.170","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 3431, STREAM(16)"
