frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","1.982070060","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Initial, DCID=a270b0ed62288c98, PKN: 1, PING, PADDING, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO, PING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
"2","1.982091078","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Initial, DCID=a270b0ed62288c98, PKN: 2, PADDING, CRYPTO, PADDING, PING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PING, PING, PING, CRYPTO"
"3","2.049090930","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Initial, SCID=a52100e402296623, PKN: 67470, CRYPTO, ACK, PADDING"
"4","2.049091146","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=a52100e402296623, PKN: 67470, CRYPTO"
"5","2.049091222","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=a52100e402296623, PKN: 67471, CRYPTO"
"6","2.049236496","578","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=a52100e402296623, PKN: 67472, CRYPTO"
"7","2.049236658","122","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 67470, STREAM(3), SETTINGS, STREAM(7), STREAM(11), PADDING"
"8","2.050336353","84","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=a52100e402296623, PKN: 3, ACK"
"9","2.051469590","85","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=a52100e402296623, PKN: 4, ACK"
"10","2.053261567","115","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=a52100e402296623, PKN: 5, CRYPTO"
"11","2.053377989","116","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=a52100e402296623, PKN: 6, STREAM(2), SETTINGS"
"12","2.054210344","542","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=a52100e402296623, PKN: 7, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: GET /"
"13","2.105019793","81","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=a52100e402296623, PKN: 67473, ACK"
"14","2.105019890","154","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 67471, DONE, NT, PADDING"
"15","2.107762010","314","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 67472, CRYPTO, ACK, PADDING"
"16","2.107923555","76","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=a52100e402296623, PKN: 8, ACK"
"17","2.107944422","90","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 67473, ACK, STREAM(11), PADDING"
"18","2.122595096","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Initial, DCID=c93a8dd75ac5d0ee, PKN: 1, CRYPTO, CRYPTO, PING, PING, PING, PADDING, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING, PADDING"
"19","2.122619689","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Initial, DCID=c93a8dd75ac5d0ee, PKN: 2, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PADDING, PING, PADDING, PING, PADDING, CRYPTO, PADDING, PING, PING, CRYPTO, PADDING, PING"
"20","2.128632118","82","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Initial, SCID=e93a8dd75ac5d0ee, PKN: 1, ACK"
"21","2.130302960","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Initial, SCID=e93a8dd75ac5d0ee, PKN: 2, ACK, PADDING"
"22","2.132009814","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Handshake, SCID=e93a8dd75ac5d0ee, PKN: 4, CRYPTO"
"23","2.132009922","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Handshake, SCID=e93a8dd75ac5d0ee, PKN: 5, CRYPTO"
"24","2.132009966","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Handshake, SCID=e93a8dd75ac5d0ee, PKN: 6, CRYPTO"
"25","2.132010009","1162","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
"26","2.132305387","81","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Handshake, DCID=e93a8dd75ac5d0ee, PKN: 3, ACK"
"27","2.132588198","81","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Handshake, DCID=e93a8dd75ac5d0ee, PKN: 4, ACK"
"28","2.133004267","77","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=a52100e402296623, PKN: 9, ACK"
"29","2.134463066","125","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Handshake, DCID=e93a8dd75ac5d0ee, PKN: 5, CRYPTO"
"30","2.134627721","113","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Protected Payload (KP0), DCID=e93a8dd75ac5d0ee, PKN: 6, STREAM(2), SETTINGS"
"31","2.134925526","507","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Protected Payload (KP0), DCID=e93a8dd75ac5d0ee, PKN: 7, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: GET /edgedl/chrome/dict/en-us-10-1.bdic?cms_redirect=yes&met=1745335671,&mh=7g&mip=46.121.188.204&mm=28&mn=sn-nhpax-ua8r&ms=nvh&mt=1745335217&mv=m&mvi=3&pl=19&rmhost=r1---sn-nhpax-ua8r.gvt1.com&rms=nvh,nvh&shardbypass=sd&smhost=r2---sn-nhpax-ua8y.gvt1.com"
"32","2.139078136","573","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 9, CRYPTO"
"33","2.139078244","158","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 10, DONE, NT, NCI"
"34","2.139344475","73","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Protected Payload (KP0), DCID=e93a8dd75ac5d0ee, PKN: 8, ACK"
"35","2.139638346","69","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11, ACK, STREAM(7)"
"36","2.142725480","352","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 12, STREAM(11), STREAM(0), HEADERS: 200 OK"
"37","2.142725577","1288","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 13, STREAM(0)"
"38","2.142725631","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 14, STREAM(0)"
"39","2.142725675","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 15, STREAM(0)"
"40","2.143006557","77","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Protected Payload (KP0), DCID=e93a8dd75ac5d0ee, PKN: 9, ACK, STREAM(6)"
"41","2.143142405","73","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Protected Payload (KP0), DCID=e93a8dd75ac5d0ee, PKN: 10, ACK"
"42","2.150094998","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 16, STREAM(0)"
"43","2.150095160","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 17, STREAM(0)"
"44","2.150095247","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 18, STREAM(0)"
"45","2.150095312","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 19, STREAM(0)"
"46","2.150095377","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 20, STREAM(0)"
"47","2.150095442","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 21, STREAM(0)"
"48","2.150095507","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 22, STREAM(0)"
"49","2.150095572","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 23, STREAM(0)"
"50","2.150134997","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 24, STREAM(0)"
"51","2.150135149","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 25, STREAM(0)"
"52","2.150135235","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 26, STREAM(0)"
"53","2.150135300","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 27, STREAM(0)"
"54","2.150135365","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 28, STREAM(0)"
