frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.126700450","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Initial, DCID=9a25e72c655d9a5a, PKN: 1, PADDING, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"2","0.126727654","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Initial, DCID=9a25e72c655d9a5a, PKN: 2, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING, PING, CRYPTO, CRYPTO, PADDING, PING, PING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO"
"3","0.180171695","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Initial, SCID=a92100be006ac749, PKN: 11450467, CRYPTO, ACK, PADDING"
"4","0.180863988","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=a92100be006ac749, PKN: 11450467, CRYPTO"
"5","0.181456629","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=a92100be006ac749, PKN: 11450468, CRYPTO"
"6","0.181456738","582","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=a92100be006ac749, PKN: 11450469, CRYPTO"
"7","0.181456781","122","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11450467, STREAM(3), SETTINGS, STREAM(7), STREAM(11), PADDING"
"8","0.181616469","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=a92100be006ac749, PKN: 4, ACK"
"9","0.182847077","85","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=a92100be006ac749, PKN: 5, ACK"
"10","0.183993943","115","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=a92100be006ac749, PKN: 6, CRYPTO"
"11","0.184114049","116","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=a92100be006ac749, PKN: 7, STREAM(2), SETTINGS"
"12","0.184526315","542","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=a92100be006ac749, PKN: 8, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: GET /"
"13","0.240973962","81","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=a92100be006ac749, PKN: 11450470, ACK"
"14","0.241167664","154","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11450468, DONE, NT, PADDING"
"15","0.246269429","314","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11450469, CRYPTO, ACK, PADDING"
"16","0.246269537","90","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 11450470, ACK, STREAM(11), PADDING"
"17","0.246417254","76","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=a92100be006ac749, PKN: 9, ACK"
"18","0.271550998","77","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=a92100be006ac749, PKN: 10, ACK"
