frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","1.398685839","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Initial, DCID=c3675eb65c96b02a, PKN: 1, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING"
"2","1.398733520","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Initial, DCID=c3675eb65c96b02a, PKN: 2, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, PADDING"
"3","1.454836988","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Initial, SCID=902100a1271a25aa, PKN: 9085943, CRYPTO, ACK, PADDING"
"4","1.454837173","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=902100a1271a25aa, PKN: 9085943, CRYPTO"
"5","1.456470327","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=902100a1271a25aa, PKN: 4, ACK"
"6","1.456917863","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=902100a1271a25aa, PKN: 9085944, CRYPTO"
"7","1.456917961","878","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=902100a1271a25aa, PKN: 9085945, CRYPTO"
"8","1.456918015","122","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 9085943, STREAM(3), SETTINGS, STREAM(7), STREAM(11), PADDING"
"9","1.457245229","84","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=902100a1271a25aa, PKN: 5, ACK"
"10","1.459269715","115","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Handshake, DCID=902100a1271a25aa, PKN: 6, CRYPTO"
"11","1.459371197","115","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=902100a1271a25aa, PKN: 7, STREAM(2), SETTINGS"
"12","1.459765641","539","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=902100a1271a25aa, PKN: 8, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: GET /"
"13","1.510083844","81","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Handshake, SCID=902100a1271a25aa, PKN: 9085946, ACK"
"14","1.510725423","154","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 9085944, DONE, NT, PADDING"
"15","1.510725585","90","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 9085945, ACK, STREAM(11), PADDING"
"16","1.510893924","76","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=902100a1271a25aa, PKN: 9, ACK"
"17","1.511333709","314","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.17","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 9085946, CRYPTO, PADDING"
"18","1.536763319","77","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.17",,,"17","Protected Payload (KP0), DCID=902100a1271a25aa, PKN: 10, ACK"
"19","1.567564075","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Initial, DCID=5f57f1a6a5f104fe, PKN: 1, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PADDING"
