frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.155751025","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Initial, DCID=3926efbf7363e70b, PKN: 1, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO"
"2","0.155774621","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Initial, DCID=3926efbf7363e70b, PKN: 2, PADDING, PING, PADDING, PING, PING, PING, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING"
"3","0.161237212","82","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Initial, SCID=f926efbf7363e70b, PKN: 1, ACK"
"4","0.164000885","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Initial, SCID=f926efbf7363e70b, PKN: 2, ACK, PADDING"
"5","0.164000993","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Handshake, SCID=f926efbf7363e70b, PKN: 4, CRYPTO"
"6","0.165541367","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Handshake, DCID=f926efbf7363e70b, PKN: 4, ACK"
"7","0.166183715","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Handshake, SCID=f926efbf7363e70b, PKN: 5, CRYPTO"
"8","0.166183813","1292","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Handshake, SCID=f926efbf7363e70b, PKN: 6, CRYPTO"
"9","0.166183856","1171","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","82.102.159.46","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
"10","0.166338322","81","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Handshake, DCID=f926efbf7363e70b, PKN: 5, ACK"
"11","0.167337287","83","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Handshake, DCID=f926efbf7363e70b, PKN: 7, ACK, PING"
"12","0.168109459","125","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Handshake, DCID=f926efbf7363e70b, PKN: 8, CRYPTO"
"13","0.168207280","111","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","82.102.159.46",,,"17","Protected Payload (KP0), DCID=f926efbf7363e70b, PKN: 9, STREAM(2), SETTINGS"
