frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.200111914","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.36",,,"17","Initial, DCID=1d24cdd80e30c051, PKN: 1, PING, CRYPTO, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PING"
"2","0.200135185","1292","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.36",,,"17","Initial, DCID=1d24cdd80e30c051, PKN: 2, PADDING, PING, PADDING, PING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO"
"3","0.426563959","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.36","172.18.253.191",,,"17","Initial, SCID=a02100c00412bedb, PKN: 7943382, CRYPTO, ACK, PADDING"
"4","0.426564132","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.36","172.18.253.191",,,"17","Handshake, SCID=a02100c00412bedb, PKN: 7943382, CRYPTO"
"5","0.426564219","1274","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.36","172.18.253.191",,,"17","Handshake, SCID=a02100c00412bedb, PKN: 7943383, CRYPTO"
"6","0.426564284","579","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.36","172.18.253.191",,,"17","Handshake, SCID=a02100c00412bedb, PKN: 7943384, CRYPTO"
"7","0.426564349","122","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.36","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 7943382, STREAM(3), SETTINGS, STREAM(7), STREAM(11), PADDING"
"8","0.427173848","84","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.36",,,"17","Handshake, DCID=a02100c00412bedb, PKN: 3, ACK"
"9","0.429137306","85","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.36",,,"17","Handshake, DCID=a02100c00412bedb, PKN: 4, ACK"
"10","0.431265250","115","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.36",,,"17","Handshake, DCID=a02100c00412bedb, PKN: 5, CRYPTO"
"11","0.431416287","113","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.36",,,"17","Protected Payload (KP0), DCID=a02100c00412bedb, PKN: 6, STREAM(2), SETTINGS"
"12","0.431801490","546","00:15:5d:f3:51:c7","00:15:5d:99:89:6f","172.18.253.191","157.240.195.36",,,"17","Protected Payload (KP0), DCID=a02100c00412bedb, PKN: 7, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: GET /l.php"
"13","0.545501456","81","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.36","172.18.253.191",,,"17","Handshake, SCID=a02100c00412bedb, PKN: 7943385, ACK"
"14","0.545501651","154","00:15:5d:99:89:6f","00:15:5d:f3:51:c7","157.240.195.36","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 7943383, DONE, NT, PADDING"
