frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"1","0.619509420","1292","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Initial, DCID=61ad2368497f972c, PKN: 1, PADDING, CRYPTO, PADDING, PING, PING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING, PADDING, PING, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING"
"2","0.619580421","1292","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Initial, DCID=61ad2368497f972c, PKN: 2, PADDING, PING, CRYPTO, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO"
"3","0.624790106","82","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Initial, SCID=e1ad2368497f972c, PKN: 1, ACK"
"4","0.627236260","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Initial, SCID=e1ad2368497f972c, PKN: 2, ACK, PADDING"
"5","0.627236533","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=e1ad2368497f972c"
"6","0.627389000","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=e1ad2368497f972c, PKN: 4, CRYPTO"
"7","0.627672407","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Handshake, SCID=e1ad2368497f972c, PKN: 5, CRYPTO"
"8","0.627904035","83","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=e1ad2368497f972c, PKN: 3, ACK"
"9","0.627994112","82","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=e1ad2368497f972c, PKN: 4, ACK"
"10","0.628286042","1163","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
"11","0.629095899","83","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=e1ad2368497f972c, PKN: 6, ACK, PING"
"12","0.630403587","125","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Handshake, DCID=e1ad2368497f972c, PKN: 7, CRYPTO"
