frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,_ws.col.info
"502","0.221461926","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 186, ACK"
"503","0.221503168","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 187, ACK"
"504","0.221614870","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 318, STREAM(0)"
"505","0.221702597","74","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 188, ACK"
"506","0.222027838","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 322, STREAM(0)"
"507","0.222027964","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 327, STREAM(0)"
"508","0.222097940","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 189, ACK"
"509","0.222148995","78","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 190, ACK"
"510","0.222300107","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 320, STREAM(0)"
"511","0.222300223","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 321, STREAM(0)"
"512","0.222322187","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 323, STREAM(0)"
"513","0.222382297","83","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 191, ACK, MD"
"514","0.222439396","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 192, ACK"
"515","0.222493188","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 193, ACK"
"516","0.222507918","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 324, STREAM(0)"
"517","0.222518489","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 325, STREAM(0)"
"518","0.222565312","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 194, ACK"
"519","0.222590919","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 195, ACK"
"520","0.222701652","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 326, STREAM(0)"
"521","0.222723436","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 332, STREAM(0)"
"522","0.222777619","75","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 196, ACK"
"523","0.222852827","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 197, ACK"
"524","0.222925298","1292","00:15:5d:86:86:ee","00:15:5d:86:8e:83","82.102.159.13","172.18.253.191",,,"17","Protected Payload (KP0), PKN: 328, STREAM(0)"
"525","0.222988262","76","00:15:5d:86:8e:83","00:15:5d:86:86:ee","172.18.253.191","82.102.159.13",,,"17","Protected Payload (KP0), DCID=f7ec285ee0d9757b, PKN: 198, ACK"
